Vial Long	Lat															
5721	146.666667000000	-38.616667000000															
15	147.462959391539	-37.974971937830															
19	147.462959391539	-37.974971937830															
20	147.462959391539	-37.974971937830															
21	147.462959391539	-37.974971937830															
36	147.462959391539	-37.974971937830															
381	147.462959391539	-37.974971937830															
399	147.462959391539	-37.974971937830															
566	147.462959391539	-37.974971937830															
624	147.462959391539	-37.974971937830															
394	147.462959391539	-37.974971937830															
5581	147.462959391539	-37.974971937830															
23	147.503746799259	-38.015913200505															
49	147.503746799259	-38.015913200505															
50	147.503746799259	-38.015913200505															
351	147.503746799259	-38.015913200505															
353	147.503746799259	-38.015913200505															
354	147.503746799259	-38.015913200505															
355	147.503746799259	-38.015913200505															
356	147.503746799259	-38.015913200505															
374	147.503746799259	-38.015913200505															
376	147.503746799259	-38.015913200505															
950	147.503746799259	-38.015913200505															
941	147.503746799259	-38.015913200505															
946	147.503746799259	-38.015913200505															
947	147.503746799259	-38.015913200505															
12	147.790237217486	-37.899324723470															
13	147.790237217486	-37.899324723470															
14	147.790237217486	-37.899324723470															
16	147.790237217486	-37.899324723470															
27	147.790237217486	-37.899324723470															
28	147.790237217486	-37.899324723470															
30	147.790237217486	-37.899324723470															
31	147.790237217486	-37.899324723470															
35	147.790237217486	-37.899324723470															
41	147.790237217486	-37.899324723470															
42	147.790237217486	-37.899324723470															
44	147.790237217486	-37.899324723470															
46	147.790237217486	-37.899324723470															
48	147.790237217486	-37.899324723470															
352	147.790237217486	-37.899324723470															
358	147.790237217486	-37.899324723470															
359	147.790237217486	-37.899324723470															
364	147.790237217486	-37.899324723470															
370	147.790237217486	-37.899324723470															
378	147.790237217486	-37.899324723470															
380	147.790237217486	-37.899324723470															
382	147.790237217486	-37.899324723470															
387	147.790237217486	-37.899324723470															
389	147.790237217486	-37.899324723470															
391	147.790237217486	-37.899324723470															
392	147.790237217486	-37.899324723470															
393	147.790237217486	-37.899324723470															
395	147.790237217486	-37.899324723470															
398	147.790237217486	-37.899324723470															
5622	147.790237217486	-37.899324723470															
32	147.147481907365	-38.046316196472															
360	147.147481907365	-38.046316196472															
361	147.147481907365	-38.046316196472															
363	147.147481907365	-38.046316196472															
373	147.147481907365	-38.046316196472															
385	147.147481907365	-38.046316196472															
590	147.147481907365	-38.046316196472															
591	147.147481907365	-38.046316196472															
914	147.147481907365	-38.046316196472															
5655	147.147481907365	-38.046316196472															
5687	147.147481907365	-38.046316196472															
633	147.147481907365	-38.046316196472															
857	147.147481907365	-38.046316196472															
891	147.147481907365	-38.046316196472															
935	147.147481907365	-38.046316196472															
936	147.147481907365	-38.046316196472															
592	147.219764000000	-38.139607000000															
558	147.219764000000	-38.139607000000															
876	147.219764000000	-38.139607000000															
888	147.219764000000	-38.139607000000															
5668	147.219764000000	-38.139607000000															
854	147.219764000000	-38.139607000000															
5652	147.207419793812	-38.173855791119															
870	147.319388106804	-38.203293482225															
5672	147.455897500523	-38.086997999639															
5686	147.455897500523	-38.086997999639															
634	146.087727228226	-38.704351795496															
104	146.200000006464	-38.650000003447															
614	146.200000006464	-38.650000003447															
5705	146.200000006464	-38.650000003447															
17	146.604753006894	-38.627743800163															
103	146.604753006894	-38.627743800163															
106	146.604753006894	-38.627743800163															
108	146.604753006894	-38.627743800163															
115	146.604753006894	-38.627743800163															
593	146.604753006894	-38.627743800163															
601	146.604753006894	-38.627743800163															
873	146.604753006894	-38.627743800163															
5710	146.604753006894	-38.627743800163															
5724	146.604753006894	-38.627743800163															
801	146.604753006894	-38.627743800163															
869	146.604753006894	-38.627743800163															
584	146.640098916210	-38.665374219336															
367	147.541953100473	-38.073978298451															
885	147.541953100473	-38.073978298451															
897	147.541953100473	-38.073978298451															
899	147.541953100473	-38.073978298451															
853	147.541953100473	-38.073978298451															
871	147.541953100473	-38.073978298451															
107	147.375768093000	-38.228094696899															
597	147.375768093000	-38.228094696899															
586	147.375768093000	-38.228094696899															
570	147.375768093000	-38.228094696899															
5584	147.375768093000	-38.228094696899															
5585	147.375768093000	-38.228094696899															
5664	147.375768093000	-38.228094696899															
5665	147.375768093000	-38.228094696899															
594	147.375768093000	-38.228094696899															
866	147.375768093000	-38.228094696899															
362	147.587179693626	-37.976776313153															
24	147.587179693626	-37.976776313153															
371	147.207772497706	-38.112800196997															
120	146.493698225561	-38.643647301030															
121	146.493698225561	-38.643647301030															
623	146.493698225561	-38.643647301030															
126	146.493698225561	-38.643647301030															
803	146.493698225561	-38.643647301030															
125	147.013984100720	-38.491994402163															
5673	147.013984100720	-38.491994402163															
864	147.013984100720	-38.491994402163															
608	146.983013000000	-38.517417000000															
565	146.907736284556	-38.114062602798															
562	146.907736284556	-38.114062602798															
559	147.298804896548	-38.164295597761															
560	147.298804896548	-38.164295597761															
564	147.298804896548	-38.164295597761															
574	147.298804896548	-38.164295597761															
576	147.298804896548	-38.164295597761															
582	147.298804896548	-38.164295597761															
589	147.298804896548	-38.164295597761															
887	147.298804896548	-38.164295597761															
5692	147.298804896548	-38.164295597761															
858	147.298804896548	-38.164295597761															
930	147.298804896548	-38.164295597761															
561	147.358026265723	-38.225994639669															
563	147.358026265723	-38.225994639669															
568	147.358026265723	-38.225994639669															
569	147.358026265723	-38.225994639669															
577	147.358026265723	-38.225994639669															
581	147.358026265723	-38.225994639669															
585	147.358026265723	-38.225994639669															
595	147.358026265723	-38.225994639669															
622	147.358026265723	-38.225994639669															
5661	147.358026265723	-38.225994639669															
40	147.618630172554	-38.001520271010															
571	147.329309318680	-38.086991440390															
812	147.329309318680	-38.086991440390															
921	147.329309318680	-38.086991440390															
5723	147.329309318680	-38.086991440390															
5587	147.995820996383	-37.851118497015															
5590	147.995820996383	-37.851118497015															
572	147.536828261118	-38.085278259369															
573	147.536828261118	-38.085278259369															
822	147.536828261118	-38.085278259369															
832	147.536828261118	-38.085278259369															
890	147.536828261118	-38.085278259369															
892	147.536828261118	-38.085278259369															
932	147.536828261118	-38.085278259369															
5660	147.536828261118	-38.085278259369															
5670	147.536828261118	-38.085278259369															
5674	147.536828261118	-38.085278259369															
5679	147.536828261118	-38.085278259369															
5695	147.536828261118	-38.085278259369															
18	147.086943941539	-38.164167001777															
5698	147.086943941539	-38.164167001777															
6282	147.086943941539	-38.164167001777															
6286	147.086943941539	-38.164167001777															
6288	147.086943941539	-38.164167001777															
925	147.086943941539	-38.164167001777															
579	146.775515508381	-38.645051705094															
917	147.210829299102	-38.056822701363															
357	147.385687196551	-38.007115812085															
400	147.385687196551	-38.007115812085															
882	147.385687196551	-38.007115812085															
6277	147.385687196551	-38.007115812085															
862	147.385687196551	-38.007115812085															
928	147.385687196551	-38.007115812085															
388	147.850000012183	-37.883333002748															
22	147.850000012183	-37.883333002748															
5589	147.819718792075	-37.745121906260															
5596	147.819718792075	-37.745121906260															
556	147.200719101231	-37.931823406785															
557	147.200719101231	-37.931823406785															
390	147.899213293353	-37.855211805418															
902	147.899213293353	-37.855211805418															
913	147.899213293353	-37.855211805418															
927	147.899213293353	-37.855211805418															
45	147.265275810078	-38.004415597144															
365	147.265275810078	-38.004415597144															
366	147.265275810078	-38.004415597144															
368	147.265275810078	-38.004415597144															
369	147.265275810078	-38.004415597144															
383	147.265275810078	-38.004415597144															
603	147.265275810078	-38.004415597144															
5675	147.265275810078	-38.004415597144															
5682	147.265275810078	-38.004415597144															
567	147.265275810078	-38.004415597144															
587	146.688332990563	-38.665278005541															
613	146.464722005990	-38.699721997739															
627	146.464722005990	-38.699721997739															
804	146.464722005990	-38.699721997739															
5586	147.073026578324	-38.102600831174															
